modification_ID	modification_name	mass	class
1	HexNAc of T	203.07937251951006	0
2	HexNAc of S	203.07937251951006	0
3	Propionyl of peptide N-term light	56.02621474784	5
4	iTRAQ 8-plex of K	304.1990394611601	0
5	Dimethylation of K 2H(6) 13C(2)	36.075670278260006	0
6	Carbamidomethylation of C	57.02146372057	0
7	Dioxidation of M	31.98982923912	0
8	Guanidination of K	42.02179807374	0
9	TMT 6-plex of K	229.16293213472008	0
10	Propionyl of peptide N-term heavy	59.03627926124	5
11	Formylation of protein N-term	27.99491461956	1
12	Diiodination of Y	251.79329593586	0
13	ICPL10 of peptide N-term	115.06669973028997	5
14	Amidation of the protein C-term	-0.9840155826899988	3
15	Acetylation of peptide N-term	42.0105646837	5
16	Palmitoylation of protein N-term	238.22966558166	1
17	ICAT-O	227.12699141827005	0
18	TMT 2-plex of peptide N-term	225.15583272792006	5
19	Label of K 2H(4)	4.025106982920001	0
20	Isoleucine 13C(6) 15N(1)	7.017163920200005	0
21	Arginine 13C(6)	6.0201290268000065	0
22	Acetylation of K	42.0105646837	0
23	Dimethylation of peptide N-term 2H(6) 13C(2)	36.075670278260006	5
24	ICPL0 of K	105.02146372057001	0
25	Trimethylation of protein N-term A	42.04695019242001	1
26	Thioacyl of peptide N-term	87.99828574784	5
27	Trideuterated Methyl Ester of R	17.034480301330003	0
28	ICPL4 of peptide N-term	109.04657070348998	5
29	4-Hydroxyproline	83.07349929343002	0
30	Hex(5) HexNAc(4) NeuAc(2) of N	2204.7724401834835	0
31	Palmitoylation of T	238.22966558166	0
32	Palmitoylation of S	238.22966558166	0
33	Methylation of K	14.01565006414	0
34	Hexose of K	162.05282341850005	0
35	Methylation of E	14.01565006414	0
36	Lysine 13C(6)	6.0201290268000065	0
37	Palmitoylation of K	238.22966558166	0
38	Methylation of C	14.01565006414	0
39	Sodium adduct to D	21.98194424883	0
40	Methylation of D	14.01565006414	0
41	Pyrolidone from carbamidomethylated C	-17.026549101009998	6
42	Sodium adduct to E	21.98194424883	0
